Metric,SPY,Strategy
Risk-Free Rate,4.21%,4.21%
Time in Market,70.0%,70.0%
,,
Total Return,9%,3%
CAGR% (Annual Return),21.79%,8.11%
,,
Sharpe,1.15,1.0
RoMaD,3.59,4.33
Corr to Benchmark,1.0,0.41
Prob. Sharpe Ratio,65.7%,78.26%
Smart Sharpe,1.14,0.99
Sortino,1.6,1.31
Smart Sortino,1.59,1.3
Sortino/√2,1.13,0.93
Smart Sortino/√2,1.12,0.92
Omega,1.2,1.2
,,
Max Drawdown,-6.07%,-1.87%
Longest DD Days,23,22
Volatility (ann.),14.31%,3.69%
R^2,0.17,0.17
Information Ratio,-0.05,-0.05
Calmar,3.59,4.33
Skew,-0.65,-1.52
Kurtosis,4.18,10.48
,,
Expected Daily%,0.05%,0.02%
Expected Monthly%,1.41%,0.55%
Expected Yearly%,8.73%,3.37%
Daily Value-at-Risk,-1.18%,-0.3%
Expected Shortfall (cVaR),-1.18%,-0.3%
,,
MTD,-2.06%,-0.42%
3M,3.27%,1.91%
6M,8.73%,3.37%
YTD,8.73%,3.37%
1Y,8.73%,3.37%
3Y (ann.),21.79%,8.11%
5Y (ann.),21.79%,8.11%
10Y (ann.),21.79%,8.11%
All-time (ann.),21.79%,8.11%
,,
Best Day,2.49%,0.81%
Worst Day,-2.98%,-1.11%
Best Month,5.96%,1.43%
Worst Month,-2.06%,-0.42%
Best Year,8.73%,3.37%
Worst Year,8.73%,3.37%
,,
Avg. Drawdown,-1.4%,-0.46%
Avg. Drawdown Days,7,10
Recovery Factor,1.45,1.78
Ulcer Index,0.02,0.0
Serenity Index,0.66,-0.47
,,
Avg. Up Month,2.89%,0.68%
Avg. Down Month,-2.06%,-0.42%
Win Days,93.89,94.46
Loss Days,62.11,61.54
Win Days%,60.19%,60.55%
Win Month%,66.67%,83.33%
Win Quarter%,100.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.1
Alpha,-,0.06
Correlation,-,40.64%
Treynor Ratio,-,-8.02%
