time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-08 09:30:00-05:00,BBTrader,681c4dc67e26420d89e215d2b9781052,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-08 09:30:00-05:00,BBTrader,681c4dc67e26420d89e215d2b9781052,SPY,buy,market,fill,1,gtc,0.0,1,stock,468.42999267578125,53.0,0.0
2024-01-31 09:30:00-05:00,BBTrader,d71e068bba3749298761abf026a7b778,SPY,sell,market,new,1,day,0.0,1,stock,,,
2024-01-31 09:30:00-05:00,BBTrader,d71e068bba3749298761abf026a7b778,SPY,sell,market,fill,1,day,0.0,1,stock,488.6199951171875,53.0,0.0
2024-04-05 10:30:00-04:00,BBTrader,c0fe54febb164a888a478e2dcb855125,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-04-05 10:30:00-04:00,BBTrader,c0fe54febb164a888a478e2dcb855125,SPY,buy,market,fill,1,gtc,0.0,1,stock,514.4600219726562,49.0,0.0
2024-05-22 10:30:00-04:00,BBTrader,7c36246ffa5b41f2a32285eda5204aa9,SPY,sell,market,new,1,day,0.0,1,stock,,,
2024-05-22 10:30:00-04:00,BBTrader,7c36246ffa5b41f2a32285eda5204aa9,SPY,sell,market,fill,1,day,0.0,1,stock,530.6500244140625,49.0,0.0
2024-05-31 10:30:00-04:00,BBTrader,36d501000375438b86eea1d9ef1fa814,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-05-31 10:30:00-04:00,BBTrader,36d501000375438b86eea1d9ef1fa814,SPY,buy,market,fill,1,gtc,0.0,1,stock,523.5900268554688,49.0,0.0
2024-06-21 10:30:00-04:00,BBTrader,eacb0ad464804b56a57acea4d6a5084c,SPY,sell,market,new,1,day,0.0,1,stock,,,
2024-06-21 10:30:00-04:00,BBTrader,eacb0ad464804b56a57acea4d6a5084c,SPY,sell,market,fill,1,day,0.0,1,stock,544.4000244140625,49.0,0.0
2024-07-22 10:30:00-04:00,BBTrader,176e38c92f2a4c9fb33d9a8992d08007,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-07-22 10:30:00-04:00,BBTrader,176e38c92f2a4c9fb33d9a8992d08007,SPY,buy,market,fill,1,gtc,0.0,1,stock,553.0,47.0,0.0
2024-08-22 10:30:00-04:00,BBTrader,fed7d4a4dcd84386b9241a4429d12cd2,SPY,sell,market,new,1,day,0.0,1,stock,,,
2024-08-22 10:30:00-04:00,BBTrader,fed7d4a4dcd84386b9241a4429d12cd2,SPY,sell,market,fill,1,day,0.0,1,stock,562.5599975585938,47.0,0.0
2024-09-10 10:30:00-04:00,BBTrader,4690cd66e30e42e6b555bd41a3dd6fc9,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-09-10 10:30:00-04:00,BBTrader,4690cd66e30e42e6b555bd41a3dd6fc9,SPY,buy,market,fill,1,gtc,0.0,1,stock,548.3599853515625,47.0,0.0
2024-09-18 10:30:00-04:00,BBTrader,d61bdf725e3543e59ce1ee81de06faf8,SPY,sell,market,new,1,day,0.0,1,stock,,,
2024-09-18 10:30:00-04:00,BBTrader,d61bdf725e3543e59ce1ee81de06faf8,SPY,sell,market,fill,1,day,0.0,1,stock,563.739990234375,47.0,0.0
2024-11-05 09:30:00-05:00,BBTrader,cbd0568e03354c17b5bbc778377413ad,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-05 09:30:00-05:00,BBTrader,cbd0568e03354c17b5bbc778377413ad,SPY,buy,market,fill,1,gtc,0.0,1,stock,570.739990234375,46.0,0.0
2024-11-14 09:30:00-05:00,BBTrader,4919506eb5d5437b91fe0aa72550083a,SPY,sell,market,new,1,day,0.0,1,stock,,,
2024-11-14 09:30:00-05:00,BBTrader,4919506eb5d5437b91fe0aa72550083a,SPY,sell,market,fill,1,day,0.0,1,stock,597.3200073242188,46.0,0.0
2024-12-23 09:30:00-05:00,BBTrader,7e12c44f018e4e52951581048e4089ae,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-12-23 09:30:00-05:00,BBTrader,7e12c44f018e4e52951581048e4089ae,SPY,buy,market,fill,1,gtc,0.0,1,stock,590.8900146484375,45.0,0.0
