Metric,SPY,Strategy
Risk-Free Rate,4.21%,4.21%
Time in Market,70.0%,62.0%
,,
Total Return,9%,11%
CAGR% (Annual Return),21.79%,28.67%
,,
Sharpe,1.15,1.53
RoMaD,3.59,3.88
Corr to Benchmark,1.0,0.43
Prob. Sharpe Ratio,65.7%,72.89%
Smart Sharpe,1.15,1.52
Sortino,1.6,2.04
Smart Sortino,1.6,2.03
Sortino/√2,1.13,1.44
Smart Sortino/√2,1.13,1.43
Omega,1.36,1.36
,,
Max Drawdown,-6.07%,-7.39%
Longest DD Days,23,22
Volatility (ann.),14.31%,14.35%
R^2,0.18,0.18
Information Ratio,0.02,0.02
Calmar,3.59,3.88
Skew,-0.65,-1.57
Kurtosis,4.18,12.03
,,
Expected Daily%,0.05%,0.07%
Expected Monthly%,1.41%,1.8%
Expected Yearly%,8.73%,11.3%
Daily Value-at-Risk,-1.18%,-1.16%
Expected Shortfall (cVaR),-1.18%,-1.16%
,,
MTD,-2.06%,-1.63%
3M,3.27%,5.27%
6M,8.73%,11.3%
YTD,8.73%,11.3%
1Y,8.73%,11.3%
3Y (ann.),21.79%,28.67%
5Y (ann.),21.79%,28.67%
10Y (ann.),21.79%,28.67%
All-time (ann.),21.79%,28.67%
,,
Best Day,2.49%,3.24%
Worst Day,-2.98%,-4.49%
Best Month,5.96%,4.97%
Worst Month,-2.06%,-1.63%
Best Year,8.73%,11.3%
Worst Year,8.73%,11.3%
,,
Avg. Drawdown,-1.4%,-1.84%
Avg. Drawdown Days,7,10
Recovery Factor,1.45,1.51
Ulcer Index,0.02,0.02
Serenity Index,0.66,0.97
,,
Avg. Up Month,2.89%,2.52%
Avg. Down Month,-2.06%,-1.63%
Win Days,93.89,94.25
Loss Days,62.11,61.75
Win Days%,60.19%,60.42%
Win Month%,66.67%,83.33%
Win Quarter%,100.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.43
Alpha,-,0.17
Correlation,-,42.88%
Treynor Ratio,-,16.49%
