Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,84.0%
,,
Total Return,27%,"6,635%"
CAGR% (Annual Return),26.91%,6793.32%
,,
Sharpe,1.5,5.34
RoMaD,2.7,196.05
Corr to Benchmark,1.0,0.1
Prob. Sharpe Ratio,81.29%,100.0%
Smart Sharpe,0.6,2.12
Sortino,2.29,13.92
Smart Sortino,0.91,5.54
Sortino/√2,1.62,9.85
Smart Sortino/√2,0.65,3.92
Omega,4.53,4.53
,,
Max Drawdown,-9.97%,-34.65%
Longest DD Days,121,104
Volatility (ann.),13.05%,84.48%
R^2,0.01,0.01
Information Ratio,0.27,0.27
Calmar,2.7,196.05
Skew,0.11,5.13
Kurtosis,1.12,51.53
,,
Expected Daily%,0.07%,1.16%
Expected Monthly%,1.84%,38.24%
Expected Yearly%,12.58%,720.69%
Daily Value-at-Risk,-1.06%,-6.02%
Expected Shortfall (cVaR),-1.06%,-6.02%
,,
MTD,0.0%,0.0%
3M,11.64%,0.48%
6M,8.05%,18.92%
YTD,0.0%,0.0%
1Y,26.74%,6635.26%
3Y (ann.),26.91%,6793.32%
5Y (ann.),26.91%,6793.32%
10Y (ann.),26.91%,6793.32%
All-time (ann.),26.91%,6793.32%
,,
Best Day,2.29%,49.81%
Worst Day,-2.01%,-18.03%
Best Month,9.13%,968.33%
Worst Month,-4.73%,-20.19%
Best Year,26.74%,6635.26%
Worst Year,0.0%,0.0%
,,
Avg. Drawdown,-1.7%,-3.39%
Avg. Drawdown Days,14,7
Recovery Factor,2.46,13.12
Ulcer Index,0.03,0.11
Serenity Index,0.67,8.06
,,
Avg. Up Month,4.49%,163.39%
Avg. Down Month,-3.45%,-15.64%
Win Days,205.48,293.36
Loss Days,158.52,70.64
Win Days%,56.45%,80.59%
Win Month%,66.67%,75.0%
Win Quarter%,75.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.65
Alpha,-,4.4
Correlation,-,10.0%
Treynor Ratio,-,10245.51%
