time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-03 09:30:00-05:00,FirstStrategy,52aa67b577574456813fa82350ad5af1,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 09:30:00-05:00,FirstStrategy,52aa67b577574456813fa82350ad5af1,SPY,buy,market,fill,1,gtc,0.0,1,stock,384.3699951171875,130.0,0.0
2023-01-04 09:30:00-05:00,FirstStrategy,f22461ba08b94113976ea252c5f6ac2c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-04 09:30:00-05:00,FirstStrategy,f22461ba08b94113976ea252c5f6ac2c,SPY,buy,market,fill,1,gtc,0.0,1,stock,383.17999267578125,130.0,0.0
2023-01-05 09:30:00-05:00,FirstStrategy,2a3ac6c63e174e74aec7c86b2167ce65,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-05 09:30:00-05:00,FirstStrategy,2a3ac6c63e174e74aec7c86b2167ce65,SPY,buy,market,fill,1,gtc,0.0,1,stock,381.7200012207031,131.0,0.0
2023-01-06 09:30:00-05:00,FirstStrategy,0e0c2e28f09f4e1e91398c946d96c07c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-06 09:30:00-05:00,FirstStrategy,0e0c2e28f09f4e1e91398c946d96c07c,SPY,buy,market,fill,1,gtc,0.0,1,stock,382.6099853515625,131.0,0.0
2023-01-09 09:30:00-05:00,FirstStrategy,e89d5855d1e043ea8ae61d4ffc1a5fcf,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-09 09:30:00-05:00,FirstStrategy,e89d5855d1e043ea8ae61d4ffc1a5fcf,SPY,buy,market,fill,1,gtc,0.0,1,stock,390.3699951171875,128.0,0.0
2023-01-10 09:30:00-05:00,FirstStrategy,53cbcebd524f46859fdd9f549d3c2edb,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-10 09:30:00-05:00,FirstStrategy,53cbcebd524f46859fdd9f549d3c2edb,SPY,buy,market,fill,1,gtc,0.0,1,stock,387.25,129.0,0.0
2023-01-11 09:30:00-05:00,FirstStrategy,32942e2304f444eea9885d8bb2940351,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-11 09:30:00-05:00,FirstStrategy,32942e2304f444eea9885d8bb2940351,SPY,buy,market,fill,1,gtc,0.0,1,stock,392.2300109863281,127.0,0.0
2023-01-12 09:30:00-05:00,FirstStrategy,679196da6de6455bafe779b5a5603c65,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-12 09:30:00-05:00,FirstStrategy,679196da6de6455bafe779b5a5603c65,SPY,buy,market,fill,1,gtc,0.0,1,stock,396.6700134277344,126.0,0.0
2023-01-13 09:30:00-05:00,FirstStrategy,c62b5fbf96cd466d88e227fcf33dfa24,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-13 09:30:00-05:00,FirstStrategy,c62b5fbf96cd466d88e227fcf33dfa24,SPY,buy,market,fill,1,gtc,0.0,1,stock,393.6199951171875,127.0,0.0
2023-01-17 09:30:00-05:00,FirstStrategy,693c1d1bdea74222a3f686fb9cc6aae1,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-17 09:30:00-05:00,FirstStrategy,693c1d1bdea74222a3f686fb9cc6aae1,SPY,buy,market,fill,1,gtc,0.0,1,stock,398.4800109863281,125.0,0.0
2023-01-18 09:30:00-05:00,FirstStrategy,0f4aec4e7d6b4daab6d00684c9e59c76,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-18 09:30:00-05:00,FirstStrategy,0f4aec4e7d6b4daab6d00684c9e59c76,SPY,buy,market,fill,1,gtc,0.0,1,stock,399.010009765625,125.0,0.0
2023-01-19 09:30:00-05:00,FirstStrategy,9679c08c973a412d9e1e69a3af06c80b,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,FirstStrategy,9679c08c973a412d9e1e69a3af06c80b,SPY,buy,market,fill,1,gtc,0.0,1,stock,389.3599853515625,128.0,0.0
2023-01-20 09:30:00-05:00,FirstStrategy,e8937d1ec3e447adb5bdc4a17db8f317,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-20 09:30:00-05:00,FirstStrategy,e8937d1ec3e447adb5bdc4a17db8f317,SPY,buy,market,fill,1,gtc,0.0,1,stock,390.1000061035156,128.0,0.0
2023-01-23 09:30:00-05:00,FirstStrategy,edceeb13b30a4e9690709c001563163c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-23 09:30:00-05:00,FirstStrategy,edceeb13b30a4e9690709c001563163c,SPY,buy,market,fill,1,gtc,0.0,1,stock,396.7200012207031,126.0,0.0
