Metric,SPY,Strategy
Risk-Free Rate,4.21%,4.21%
Time in Market,69.0%,50.0%
,,
Total Return,26%,-0%
CAGR% (Annual Return),26.21%,-0.0%
,,
Sharpe,1.58,0.24
RoMaD,3.12,-0.0
Corr to Benchmark,1.0,-0.11
Prob. Sharpe Ratio,85.79%,30.16%
Smart Sharpe,1.58,0.24
Sortino,2.28,0.4
Smart Sortino,2.27,0.39
Sortino/√2,1.61,0.28
Smart Sortino/√2,1.61,0.28
Omega,1.26,1.26
,,
Max Drawdown,-8.41%,-37.46%
Longest DD Days,64,105
Volatility (ann.),12.58%,62.62%
R^2,0.01,0.01
Information Ratio,-0.0,-0.0
Calmar,3.12,-0.0
Skew,-0.51,5.59
Kurtosis,3.81,194.1
,,
Expected Daily%,0.06%,0.0%
Expected Monthly%,1.95%,-0.0%
Expected Yearly%,26.05%,-0.0%
Daily Value-at-Risk,-1.02%,-5.34%
Expected Shortfall (cVaR),-1.02%,-5.34%
,,
MTD,-2.06%,0.0%
3M,3.27%,0.0%
6M,8.78%,-36.71%
YTD,26.05%,-0.0%
1Y,26.05%,-0.0%
3Y (ann.),26.21%,-0.0%
5Y (ann.),26.21%,-0.0%
10Y (ann.),26.21%,-0.0%
All-time (ann.),26.21%,-0.0%
,,
Best Day,2.49%,49.87%
Worst Day,-2.98%,-37.4%
Best Month,5.96%,51.79%
Worst Month,-4.03%,-37.28%
Best Year,26.05%,-0.0%
Worst Year,26.05%,-0.0%
,,
Avg. Drawdown,-1.21%,-2.22%
Avg. Drawdown Days,8,14
Recovery Factor,2.85,0.51
Ulcer Index,0.02,0.2
Serenity Index,1.91,0.06
,,
Avg. Up Month,3.26%,8.25%
Avg. Down Month,-4.03%,-1.0%
Win Days,215.49,223.69
Loss Days,148.51,140.31
Win Days%,59.2%,61.45%
Win Month%,75.0%,77.78%
Win Quarter%,100.0%,66.67%
Win Year%,100.0%,0.0%
,,
Beta,-,-0.56
Alpha,-,0.32
Correlation,-,-11.2%
Treynor Ratio,-,7.55%
