Metric,SPY,Strategy
Risk-Free Rate,4.21%,4.21%
Time in Market,69.0%,69.0%
,,
Total Return,26%,12%
CAGR% (Annual Return),26.21%,12.55%
,,
Sharpe,1.58,1.16
RoMaD,3.12,2.53
Corr to Benchmark,1.0,0.42
Prob. Sharpe Ratio,85.79%,81.83%
Smart Sharpe,1.52,1.12
Sortino,2.28,1.58
Smart Sortino,2.19,1.53
Sortino/√2,1.61,1.12
Smart Sortino/√2,1.55,1.08
Omega,1.22,1.22
,,
Max Drawdown,-8.41%,-4.95%
Longest DD Days,64,43
Volatility (ann.),12.58%,6.81%
R^2,0.18,0.18
Information Ratio,-0.05,-0.05
Calmar,3.12,2.53
Skew,-0.51,-1.08
Kurtosis,3.81,8.75
,,
Expected Daily%,0.06%,0.03%
Expected Monthly%,1.95%,0.98%
Expected Yearly%,26.05%,12.48%
Daily Value-at-Risk,-1.02%,-0.55%
Expected Shortfall (cVaR),-1.02%,-0.55%
,,
MTD,-2.06%,-0.91%
3M,3.27%,1.58%
6M,8.78%,4.2%
YTD,26.05%,12.48%
1Y,26.05%,12.48%
3Y (ann.),26.21%,12.55%
5Y (ann.),26.21%,12.55%
10Y (ann.),26.21%,12.55%
All-time (ann.),26.21%,12.55%
,,
Best Day,2.49%,1.77%
Worst Day,-2.98%,-2.39%
Best Month,5.96%,2.37%
Worst Month,-4.03%,-1.47%
Best Year,26.05%,12.48%
Worst Year,26.05%,12.48%
,,
Avg. Drawdown,-1.21%,-0.79%
Avg. Drawdown Days,8,10
Recovery Factor,2.85,2.42
Ulcer Index,0.02,0.01
Serenity Index,1.91,1.49
,,
Avg. Up Month,3.43%,1.53%
Avg. Down Month,-3.04%,-1.19%
Win Days,215.49,212.58
Loss Days,148.51,151.42
Win Days%,59.2%,58.4%
Win Month%,75.0%,83.33%
Win Quarter%,100.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.23
Alpha,-,0.07
Correlation,-,41.92%
Treynor Ratio,-,36.49%
