Metric,SPY,Strategy
Risk-Free Rate,4.21%,4.21%
Time in Market,69.0%,69.0%
,,
Total Return,96%,-41%
CAGR% (Annual Return),14.7%,-10.05%
,,
Sharpe,0.56,-0.04
RoMaD,0.44,-0.14
Corr to Benchmark,1.0,-0.3
Prob. Sharpe Ratio,45.79%,4.64%
Smart Sharpe,0.51,-0.03
Sortino,0.78,-0.05
Smart Sortino,0.71,-0.05
Sortino/√2,0.55,-0.04
Smart Sortino/√2,0.5,-0.03
Omega,0.99,0.99
,,
Max Drawdown,-33.68%,-70.81%
Longest DD Days,708,1744
Volatility (ann.),21.1%,50.8%
R^2,0.09,0.09
Information Ratio,-0.01,-0.01
Calmar,0.44,-0.14
Skew,-0.6,0.49
Kurtosis,17.83,25.67
,,
Expected Daily%,0.04%,-0.03%
Expected Monthly%,1.15%,-0.88%
Expected Yearly%,14.41%,-9.87%
Daily Value-at-Risk,-1.77%,-4.37%
Expected Shortfall (cVaR),-1.77%,-4.37%
,,
MTD,-2.06%,7.09%
3M,3.27%,-4.28%
6M,8.78%,-18.73%
YTD,25.35%,-27.87%
1Y,25.35%,-27.87%
3Y (ann.),11.98%,-26.01%
5Y (ann.),14.7%,-10.05%
10Y (ann.),14.7%,-10.05%
All-time (ann.),14.7%,-10.05%
,,
Best Day,9.06%,24.04%
Worst Day,-10.94%,-26.42%
Best Month,12.7%,43.67%
Worst Month,-12.44%,-28.86%
Best Year,28.77%,50.02%
Worst Year,-18.16%,-32.39%
,,
Avg. Drawdown,-1.91%,-12.83%
Avg. Drawdown Days,18,223
Recovery Factor,2.33,0.16
Ulcer Index,0.09,0.42
Serenity Index,0.49,0.01
,,
Avg. Up Month,4.79%,2.97%
Avg. Down Month,-2.25%,-5.11%
Win Days,983.02,876.9
Loss Days,809.98,916.1
Win Days%,54.83%,48.91%
Win Month%,64.41%,45.76%
Win Quarter%,75.0%,25.0%
Win Year%,80.0%,20.0%
,,
Beta,-,-0.72
Alpha,-,0.14
Correlation,-,-29.9%
Treynor Ratio,-,62.17%
